Filename,Filter,Window Length,Prediction Frequencies,Proportion Predicted,Accuracy
Liviu6.66.bdf,1,4.0 sec,"[6.66, 7.5, 10]","[0.96825396825396826, 0.0079365079365079361, 0.023809523809523808]",0.9682539682539683
Liviu7.5.bdf,1,4.0 sec,"[6.66, 7.5, 10]","[0.010638297872340425, 0.98936170212765961, 0.0]",0.9893617021276596
Liviu10.bdf,1,4.0 sec,"[6.66, 7.5, 10]","[0.17708333333333334, 0.125, 0.69791666666666663]",0.6979166666666666
Liviu6.66.bdf,0,4.0 sec,"[6.66, 7.5, 10]","[0.9285714285714286, 0.023809523809523808, 0.047619047619047616]",0.9285714285714286
Liviu7.5.bdf,0,4.0 sec,"[6.66, 7.5, 10]","[0.0, 0.98936170212765961, 0.010638297872340425]",0.9893617021276596
Liviu10.bdf,0,4.0 sec,"[6.66, 7.5, 10]","[0.16666666666666666, 0.15625, 0.67708333333333337]",0.6770833333333334
Liviu6.66.bdf,0,4.0 sec,"[6.66, 7.5, 8, 9, 10]","[0.84920634920634919, 0.023809523809523808, 0.03968253968253968, 0.047619047619047616, 0.03968253968253968]",0.8492063492063492
Liviu7.5.bdf,0,4.0 sec,"[6.66, 7.5, 8, 9, 10]","[0.0, 0.98936170212765961, 0.0, 0.0, 0.010638297872340425]",0.9893617021276596
Liviu10.bdf,0,4.0 sec,"[6.66, 7.5, 8, 9, 10]","[0.13541666666666666, 0.11458333333333333, 0.0625, 0.072916666666666671, 0.61458333333333337]",0.6145833333333334
Liviu6.66.bdf,1,4.0 sec,"[6.66, 7.5, 8, 9, 10]","[0.93650793650793651, 0.0, 0.015873015873015872, 0.023809523809523808, 0.023809523809523808]",0.9365079365079365
Liviu7.5.bdf,1,4.0 sec,"[6.66, 7.5, 8, 9, 10]","[0.010638297872340425, 0.98936170212765961, 0.0, 0.0, 0.0]",0.9893617021276596
Liviu10.bdf,1,4.0 sec,"[6.66, 7.5, 8, 9, 10]","[0.13541666666666666, 0.09375, 0.083333333333333329, 0.010416666666666666, 0.67708333333333337]",0.6770833333333334
